Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date

06-29-2026,REINVESTMENT WISDOMTREE JAPAN HEDGED EQUITY FUND (DXJ) (Cash),DXJ,WISDOMTREE JAPAN HEDGED EQUITY FUND,Cash,173.25,0.07,"","","",-12.2,0.03,""
06-29-2026,DIVIDEND RECEIVED WISDOMTREE JAPAN HEDGED EQUITY FUND (DXJ) (Cash),DXJ,WISDOMTREE JAPAN HEDGED EQUITY FUND,Cash,"",0,"","","",12.2,12.23,""
06-26-2026,REINVESTMENT INVESCO EXCH TRADED FD TR II NASDAQ ... (IBBQ) (Cash),IBBQ,INVESCO EXCH TRADED FD TR II NASDAQ BIOTECH,Cash,31.64,0.073,"","","",-2.3,0.03,""
06-26-2026,DIVIDEND RECEIVED INVESCO EXCH TRADED FD TR II NASDAQ ... (IBBQ) (Cash),IBBQ,INVESCO EXCH TRADED FD TR II NASDAQ BIOTECH,Cash,"",0,"","","",2.3,2.33,""
06-24-2026,REINVESTMENT SPDR SERIES TRUST STATE STREET S&P K... (ROKT) (Cash),ROKT,SPDR SERIES TRUST STATE STREET S&P KENSHO FINAL FRONTIERS ETF,Cash,115.13,0.008,"","","",-0.93,0.03,""
06-24-2026,DIVIDEND RECEIVED SPDR SERIES TRUST STATE STREET S&P K... (ROKT) (Cash),ROKT,SPDR SERIES TRUST STATE STREET S&P KENSHO FINAL FRONTIERS ETF,Cash,"",0,"","","",0.93,0.96,""
06-23-2026,REINVESTMENT VANGUARD RUSSELL 2000 ETF (VTWO) (Cash),VTWO,VANGUARD RUSSELL 2000 ETF,Cash,120.38,0.043,"","","",-5.16,0.03,""
06-23-2026,DIVIDEND RECEIVED VANGUARD RUSSELL 2000 ETF (VTWO) (Cash),VTWO,VANGUARD RUSSELL 2000 ETF,Cash,"",0,"","","",5.16,5.19,""
06-23-2026,REINVESTMENT FIDELITY MSCI INFORMATION TECHNOLOGY... (FTEC) (Cash),FTEC,FIDELITY MSCI INFORMATION TECHNOLOGY INDEX ETF,Cash,287.93,0.008,"","","",-2.22,0.03,""
06-23-2026,DIVIDEND RECEIVED FIDELITY MSCI INFORMATION TECHNOLOGY... (FTEC) (Cash),FTEC,FIDELITY MSCI INFORMATION TECHNOLOGY INDEX ETF,Cash,"",0,"","","",2.22,2.25,""
06-23-2026,REINVESTMENT FIDELITY MSCI INDL INDEX ETF (FIDU) (Cash),FIDU,FIDELITY MSCI INDL INDEX ETF,Cash,98.03,0.051,"","","",-4.99,0.03,""
06-23-2026,DIVIDEND RECEIVED FIDELITY MSCI INDL INDEX ETF (FIDU) (Cash),FIDU,FIDELITY MSCI INDL INDEX ETF,Cash,"",0,"","","",4.99,5.02,""
06-23-2026,REINVESTMENT FIDELITY ELECTRIC VEHICLES AND FUTUR... (FDRV) (Cash),FDRV,FIDELITY ELECTRIC VEHICLES AND FUTURE TRANSPORTATION ETF,Cash,20.05,0.312,"","","",-6.26,0.03,""
06-23-2026,DIVIDEND RECEIVED FIDELITY ELECTRIC VEHICLES AND FUTUR... (FDRV) (Cash),FDRV,FIDELITY ELECTRIC VEHICLES AND FUTURE TRANSPORTATION ETF,Cash,"",0,"","","",6.26,6.29,""
06-23-2026,REINVESTMENT FIDELITY CRYPTO INDUSTRY AND DIGITAL... (FDIG) (Cash),FDIG,FIDELITY CRYPTO INDUSTRY AND DIGITAL PAYMENTS ETF,Cash,46.87,0.109,"","","",-5.13,0.03,""
06-23-2026,DIVIDEND RECEIVED FIDELITY CRYPTO INDUSTRY AND DIGITAL... (FDIG) (Cash),FDIG,FIDELITY CRYPTO INDUSTRY AND DIGITAL PAYMENTS ETF,Cash,"",0,"","","",5.13,5.16,""
06-11-2026,REINVESTMENT AVANTIS INTERNATIONAL SMALL CAP VAL ETF (AVDV) (Cash),AVDV,AVANTIS INTERNATIONAL SMALL CAP VAL ETF,Cash,103.34,0.186,"","","",-19.21,0.03,""
06-11-2026,DIVIDEND RECEIVED AVANTIS INTERNATIONAL SMALL CAP VAL ETF (AVDV) (Cash),AVDV,AVANTIS INTERNATIONAL SMALL CAP VAL ETF,Cash,"",0,"","","",19.21,19.24,""
06-04-2026,REINVESTMENT ISHARES CORE US AGGREGATE BOND ETF (AGG) (Cash),AGG,ISHARES CORE US AGGREGATE BOND ETF,Cash,98.5,0.057,"","","",-5.6,0.03,""
06-04-2026,DIVIDEND RECEIVED ISHARES CORE US AGGREGATE BOND ETF (AGG) (Cash),AGG,ISHARES CORE US AGGREGATE BOND ETF,Cash,"",0,"","","",5.6,5.63,""
05-29-2026,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,0.01,"","","",-0.01,0.03,""
05-29-2026,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,"",0,"","","",0.01,0.03,""
05-11-2026,YOU BOUGHT GRAYSCALE BITCOIN MINI TR ETF SHS NEW (BTC) (Cash),BTC,GRAYSCALE BITCOIN MINI TR ETF SHS NEW,Cash,36.24,0.437,"","","",-15.84,0.02,05-12-2026
