

Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
03/31/2026,"REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,1,0.07,,,,-0.07,4.57,
03/31/2026,"DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,,0.000,,,,0.07,4.57,
03/27/2026,"REINVESTMENT INVESCO EXCH TRADED FD TR II NASDAQ ... (IBBQ) (Cash)",IBBQ,"INVESCO EXCH TRADED FD TR II NASDAQ BIO",Cash,28.56,0.085,,,,-2.43,4.50,
03/27/2026,"DIVIDEND RECEIVED INVESCO EXCH TRADED FD TR II NASDAQ ... (IBBQ) (Cash)",IBBQ,"INVESCO EXCH TRADED FD TR II NASDAQ BIO",Cash,,0.000,,,,2.43,6.93,
03/26/2026,"DIVIDEND RECEIVED VANGUARD RUSSELL 2000 ETF (VTWO) (Cash)",VTWO,"VANGUARD RUSSELL 2000 ETF",Cash,,0.000,,,,4.48,4.50,
03/25/2026,"REINVESTMENT SPDR SERIES TRUST STATE STREET S&P K... (ROKT) (Cash)",ROKT,"SPDR SERIES TRUST STATE STREET S&P KENS",Cash,101.71,0.012,,,,-1.25,0.02,
03/25/2026,"DIVIDEND RECEIVED SPDR SERIES TRUST STATE STREET S&P K... (ROKT) (Cash)",ROKT,"SPDR SERIES TRUST STATE STREET S&P KENS",Cash,,0.000,,,,1.25,1.27,
03/24/2026,"REINVESTMENT FIDELITY MSCI INFORMATION TECHNOLOGY... (FTEC) (Cash)",FTEC,"FIDELITY MSCI INFORMATION TECHNOLOGY IN",Cash,214.31,0.008,,,,-1.69,0.02,
03/24/2026,"DIVIDEND RECEIVED FIDELITY MSCI INFORMATION TECHNOLOGY... (FTEC) (Cash)",FTEC,"FIDELITY MSCI INFORMATION TECHNOLOGY IN",Cash,,0.000,,,,1.69,1.71,
03/24/2026,"REINVESTMENT FIDELITY MSCI INDL INDEX ETF (FIDU) (Cash)",FIDU,"FIDELITY MSCI INDL INDEX ETF",Cash,88.09,0.07,,,,-6.19,0.02,
03/24/2026,"DIVIDEND RECEIVED FIDELITY MSCI INDL INDEX ETF (FIDU) (Cash)",FIDU,"FIDELITY MSCI INDL INDEX ETF",Cash,,0.000,,,,6.19,6.21,
03/24/2026,"REINVESTMENT FIDELITY ELECTRIC VEHICLES AND FUTUR... (FDRV) (Cash)",FDRV,"FIDELITY ELECTRIC VEHICLES AND FUTURE T",Cash,16.61,0.24,,,,-3.99,0.02,
03/24/2026,"DIVIDEND RECEIVED FIDELITY ELECTRIC VEHICLES AND FUTUR... (FDRV) (Cash)",FDRV,"FIDELITY ELECTRIC VEHICLES AND FUTURE T",Cash,,0.000,,,,3.99,4.01,
03/24/2026,"REINVESTMENT FIDELITY CRYPTO INDUSTRY AND DIGITAL... (FDIG) (Cash)",FDIG,"FIDELITY CRYPTO INDUSTRY AND DIGITAL PA",Cash,36.22,0.03,,,,-1.07,0.02,
03/24/2026,"DIVIDEND RECEIVED FIDELITY CRYPTO INDUSTRY AND DIGITAL... (FDIG) (Cash)",FDIG,"FIDELITY CRYPTO INDUSTRY AND DIGITAL PA",Cash,,0.000,,,,1.07,1.09,
03/17/2026,"YOU BOUGHT GRAYSCALE ETHEREUM STAKING MINI ETF (ETH) (Cash)",ETH,"GRAYSCALE ETHEREUM STAKING MINI ETF",Cash,22.17,18,,,,-399.14,0.02,03/18/2026
03/17/2026,"YOU BOUGHT GRAYSCALE ETHEREUM STAKING MINI ETF (ETH) (Cash)",ETH,"GRAYSCALE ETHEREUM STAKING MINI ETF",Cash,22.18,13,,,,-288.28,399.16,03/18/2026
03/17/2026,"YOU BOUGHT GRAYSCALE ETHEREUM STAKING MINI ETF (ETH) (Cash)",ETH,"GRAYSCALE ETHEREUM STAKING MINI ETF",Cash,22.18,0.528,,,,-11.71,687.44,03/18/2026
03/17/2026,"YOU BOUGHT GRAYSCALE ETHEREUM STAKING MINI ETF (ETH) (Cash)",ETH,"GRAYSCALE ETHEREUM STAKING MINI ETF",Cash,22.18,0.039,,,,-0.86,699.15,03/18/2026
03/16/2026,"YOU BOUGHT GRAYSCALE ETHEREUM STAKING MINI ETF (ETH) (Cash)",ETH,"GRAYSCALE ETHEREUM STAKING MINI ETF",Cash,21.66,13,,,,-281.52,700.01,03/17/2026
03/16/2026,"YOU BOUGHT GRAYSCALE ETHEREUM STAKING MINI ETF (ETH) (Cash)",ETH,"GRAYSCALE ETHEREUM STAKING MINI ETF",Cash,21.66,0.853,,,,-18.47,981.53,03/17/2026
03/16/2026,"Electronic Funds Transfer Received (Cash)", ,"No Description",Cash,,0.000,,,,1000,1000.00,
03/12/2026,"REINVESTMENT AVANTIS INTERNATIONAL SMALL CAP VAL ETF (AVDV) (Cash)",AVDV,"AVANTIS INTERNATIONAL SMALL CAP VAL ETF",Cash,102.4,0.016,,,,-1.67,0.00,
03/12/2026,"DIVIDEND RECEIVED AVANTIS INTERNATIONAL SMALL CAP VAL ETF (AVDV) (Cash)",AVDV,"AVANTIS INTERNATIONAL SMALL CAP VAL ETF",Cash,,0.000,,,,1.67,1.67,
03/10/2026,"YOU BOUGHT SPDR SERIES TRUST STATE STREET S&P K... (ROKT) (Cash)",ROKT,"SPDR SERIES TRUST STATE STREET S&P KENS",Cash,103.49,4,,,,-413.96,0.00,03/11/2026
03/10/2026,"YOU BOUGHT SPDR SERIES TRUST STATE STREET S&P K... (ROKT) (Cash)",ROKT,"SPDR SERIES TRUST STATE STREET S&P KENS",Cash,103.49,0.831,,,,-86,413.96,03/11/2026
03/10/2026,"YOU BOUGHT FIDELITY MSCI INDL INDEX ETF (FIDU) (Cash)",FIDU,"FIDELITY MSCI INDL INDEX ETF",Cash,91.21,5,,,,-456.06,499.96,03/11/2026
03/10/2026,"YOU BOUGHT FIDELITY MSCI INDL INDEX ETF (FIDU) (Cash)",FIDU,"FIDELITY MSCI INDL INDEX ETF",Cash,91.21,0.482,,,,-43.96,956.02,03/11/2026
03/10/2026,"YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER FIDELITY ZERO EXTND MARKET INDEX FUND (FZIPX) (Cash)",FZIPX,"FIDELITY ZERO EXTND MARKET INDEX FUND",Cash,15.63,63.982,,,,-1000.04,999.98,03/11/2026
03/10/2026,"Electronic Funds Transfer Received (Cash)", ,"No Description",Cash,,0.000,,,,2000,2000.02,
03/04/2026,"YOU BOUGHT ISHARES GOLD TR SHARES REPRESENT (IAUM) (Cash)",IAUM,"ISHARES GOLD TR SHARES REPRESENT",Cash,51.03,9,,,,-459.23,0.02,03/05/2026
03/04/2026,"YOU BOUGHT ISHARES GOLD TR SHARES REPRESENT (IAUM) (Cash)",IAUM,"ISHARES GOLD TR SHARES REPRESENT",Cash,51.03,0.799,,,,-40.77,459.25,03/05/2026
03/04/2026,"YOU BOUGHT ISHARES CORE US AGGREGATE BOND ETF (AGG) (Cash)",AGG,"ISHARES CORE US AGGREGATE BOND ETF",Cash,100.56,4,,,,-402.22,500.02,03/05/2026
03/04/2026,"YOU BOUGHT ISHARES CORE US AGGREGATE BOND ETF (AGG) (Cash)",AGG,"ISHARES CORE US AGGREGATE BOND ETF",Cash,100.56,0.972,,,,-97.74,902.24,03/05/2026
03/04/2026,"YOU BOUGHT INVESCO EXCH TRADED FD TR II NASDAQ ... (IBBQ) (Cash)",IBBQ,"INVESCO EXCH TRADED FD TR II NASDAQ BIO",Cash,29.54,16,,,,-472.64,999.98,03/05/2026
03/04/2026,"YOU BOUGHT INVESCO EXCH TRADED FD TR II NASDAQ ... (IBBQ) (Cash)",IBBQ,"INVESCO EXCH TRADED FD TR II NASDAQ BIO",Cash,29.57,0.926,,,,-27.38,1472.62,03/05/2026
03/04/2026,"YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER FIDELITY EMERGING MARKETS INDEX FUND (FPADX) (Cash)",FPADX,"FIDELITY EMERGING MARKETS INDEX FUND",Cash,14.68,34.061,,,,-500.02,1500.00,03/05/2026
03/04/2026,"YOU BOUGHT FIDELITY CRYPTO INDUSTRY AND DIGITAL... (FDIG) (Cash)",FDIG,"FIDELITY CRYPTO INDUSTRY AND DIGITAL PA",Cash,37.21,13,,,,-483.79,2000.02,03/05/2026
03/04/2026,"YOU BOUGHT FIDELITY CRYPTO INDUSTRY AND DIGITAL... (FDIG) (Cash)",FDIG,"FIDELITY CRYPTO INDUSTRY AND DIGITAL PA",Cash,37.2,0.436,,,,-16.22,2483.81,03/05/2026
03/04/2026,"Electronic Funds Transfer Received (Cash)", ,"No Description",Cash,,0.000,,,,2500,2500.03,
03/02/2026,"YOU BOUGHT WISDOMTREE JAPAN HEDGED EQUITY FUND (DXJ) (Cash)",DXJ,"WISDOMTREE JAPAN HEDGED EQUITY FUND",Cash,166.61,3,,,,-499.82,0.03,03/03/2026
